Title,Winner,Loser,Draw,Method,Round,Time,Time Format,Referee,Details,Red Fighter,Red KD,Red Sig. str.,Red Sig. str. %,Red Total str.,Red Td,Red Td %,Red Sub. att,Red Rev.,Red Ctrl,Red Sig. str,Red Head,Red Body,Red Leg,Red Distance,Red Clinch,Red Ground,Blue Fighter,Blue KD,Blue Sig. str.,Blue Sig. str. %,Blue Total str.,Blue Td,Blue Td %,Blue Sub. att,Blue Rev.,Blue Ctrl,Blue Sig. str,Blue Head,Blue Body,Blue Leg,Blue Distance,Blue Clinch,Blue Ground
Featherweight Bout,Lucas Alexander,Steven Peterson,False,Decision - Unanimous,3,5:00,,Jacob Montalvo,,Steven Peterson,0,26 of 101,25%,27 of 102,0 of 4,0%,0,0,0:31,26 of 101,8 of 67,9 of 18,9 of 16,25 of 99,1 of 2,0 of 0,Lucas Alexander,1,85 of 158,53%,86 of 159,0 of 0,---,0,0,0:55,85 of 158,43 of 108,20 of 27,22 of 23,78 of 142,1 of 1,6 of 15
Welterweight Bout,Trevin Giles,Preston Parsons,False,Decision - Split,3,5:00,,Kerry Hatley,,Trevin Giles,0,55 of 108,50%,71 of 129,0 of 1,0%,0,2,4:14,55 of 108,51 of 102,4 of 6,0 of 0,34 of 83,7 of 9,14 of 16,Preston Parsons,0,42 of 95,44%,62 of 130,3 of 11,27%,3,1,5:16,42 of 95,24 of 77,6 of 6,12 of 12,34 of 84,7 of 10,1 of 1
Flyweight Bout,CJ Vergara,Daniel Lacerda,False,KO/TKO,2,4:04,,Jason Herzog,,CJ Vergara,0,83 of 144,57%,98 of 164,0 of 0,---,1,0,2:54,83 of 144,57 of 103,16 of 29,10 of 12,34 of 65,0 of 2,49 of 77,Daniel Lacerda,2,48 of 117,41%,51 of 120,1 of 2,50%,2,0,0:40,48 of 117,32 of 94,11 of 17,5 of 6,42 of 106,4 of 7,2 of 4
Flyweight Bout,Victor Altamirano,Vinicius Salvador,False,Decision - Unanimous,3,5:00,,Kerry Hatley,,Victor Altamirano,0,62 of 118,52%,109 of 171,3 of 22,13%,0,0,5:04,62 of 118,28 of 69,14 of 27,20 of 22,54 of 106,4 of 6,4 of 6,Vinicius Salvador,0,47 of 130,36%,83 of 168,1 of 6,16%,0,0,0:21,47 of 130,26 of 102,15 of 21,6 of 7,39 of 119,4 of 7,4 of 4
UFC Welterweight Title Bout,Leon Edwards,Kamaru Usman,False,Decision - Majority,5,5:00,,Herb Dean,,Leon Edwards,0,120 of 161,74%,123 of 164,0 of 1,0%,0,0,0:00,120 of 161,34 of 69,36 of 39,50 of 53,111 of 150,9 of 11,0 of 0,Kamaru Usman,0,87 of 205,42%,113 of 232,4 of 15,26%,0,0,5:03,87 of 205,57 of 163,24 of 34,6 of 8,65 of 177,21 of 27,1 of 1
Lightweight Bout,Justin Gaethje,Rafael Fiziev,False,Decision - Majority,3,5:00,,Marc Goddard,,Justin Gaethje,0,103 of 171,60%,106 of 174,1 of 3,33%,0,0,0:05,103 of 171,81 of 142,14 of 15,8 of 14,84 of 147,19 of 24,0 of 0,Rafael Fiziev,0,97 of 169,57%,97 of 169,0 of 0,---,0,0,0:00,97 of 169,38 of 100,52 of 61,7 of 8,81 of 151,16 of 18,0 of 0
Welterweight Bout,Gunnar Nelson,Bryan Barberena,False,Submission,1,4:51,,Rich Mitchell,,Gunnar Nelson,0,10 of 11,90%,20 of 21,1 of 2,50%,1,0,3:13,10 of 11,8 of 9,2 of 2,0 of 0,1 of 2,2 of 2,7 of 7,Bryan Barberena,0,7 of 12,58%,18 of 23,0 of 0,---,0,0,0:00,7 of 12,3 of 7,0 of 0,4 of 5,6 of 11,0 of 0,1 of 1
Women's Flyweight Bout,Jennifer Maia,Casey O'Neill,False,Decision - Unanimous,3,5:00,,Herb Dean,,Jennifer Maia,0,145 of 349,41%,151 of 355,0 of 4,0%,0,0,1:23,145 of 349,123 of 321,11 of 16,11 of 12,124 of 321,21 of 28,0 of 0,Casey O'Neill,0,137 of 264,51%,137 of 264,0 of 1,0%,0,0,0:00,137 of 264,108 of 226,24 of 32,5 of 6,129 of 254,8 of 10,0 of 0
Middleweight Bout,Marvin Vettori,Roman Dolidze,False,Decision - Unanimous,3,5:00,,Marc Goddard,,Marvin Vettori,0,106 of 218,48%,106 of 218,0 of 0,---,0,0,0:00,106 of 218,60 of 165,8 of 13,38 of 40,100 of 212,6 of 6,0 of 0,Roman Dolidze,0,71 of 192,36%,71 of 192,0 of 1,0%,0,0,0:14,71 of 192,52 of 169,11 of 15,8 of 8,67 of 180,4 of 12,0 of 0
Featherweight Bout,Jack Shore,Makwan Amirkhani,False,Submission,2,4:27,,Rich Mitchell,,Jack Shore,0,28 of 46,60%,45 of 64,1 of 1,100%,1,0,2:15,28 of 46,23 of 40,4 of 4,1 of 2,22 of 39,2 of 2,4 of 5,Makwan Amirkhani,0,10 of 24,41%,14 of 28,1 of 3,33%,0,0,3:31,10 of 24,6 of 19,4 of 5,0 of 0,6 of 20,4 of 4,0 of 0
Lightweight Bout,Chris Duncan,Omar Morales,False,Decision - Split,3,5:00,,Lukasz Bosacki,,Chris Duncan,0,53 of 83,63%,62 of 92,5 of 14,35%,0,0,6:31,53 of 83,12 of 25,17 of 21,24 of 37,43 of 73,3 of 3,7 of 7,Omar Morales,0,47 of 80,58%,53 of 86,0 of 0,---,0,1,0:02,47 of 80,32 of 64,5 of 6,10 of 10,41 of 73,5 of 6,1 of 1
Lightweight Bout,Yanal Ashmouz,Sam Patterson,False,KO/TKO,1,1:15,,Marc Goddard,,Sam Patterson,0,2 of 7,28%,2 of 7,0 of 0,---,0,0,0:00,2 of 7,1 of 4,0 of 0,1 of 3,2 of 7,0 of 0,0 of 0,Yanal Ashmouz,0,15 of 20,75%,15 of 20,1 of 1,100%,0,0,0:07,15 of 20,14 of 18,0 of 0,1 of 2,2 of 4,0 of 0,13 of 16
Flyweight Bout,Muhammad Mokaev,Jafel Filho,False,Submission,3,4:32,,Herb Dean,,Muhammad Mokaev,0,16 of 30,53%,79 of 104,4 of 8,50%,2,0,8:15,16 of 30,4 of 15,8 of 10,4 of 5,12 of 25,0 of 0,4 of 5,Jafel Filho,0,9 of 37,24%,54 of 87,0 of 0,---,2,1,0:50,9 of 37,1 of 23,2 of 2,6 of 12,9 of 36,0 of 0,0 of 1
Featherweight Bout,Lerone Murphy,Gabriel Santos,False,Decision - Split,3,5:00,,Rich Mitchell,,Lerone Murphy,0,93 of 161,57%,115 of 183,1 of 2,50%,0,0,2:18,93 of 161,59 of 117,27 of 37,7 of 7,77 of 144,12 of 12,4 of 5,Gabriel Santos,0,69 of 122,56%,87 of 141,5 of 11,45%,0,0,4:00,69 of 122,32 of 73,24 of 34,13 of 15,55 of 105,14 of 15,0 of 2
Middleweight Bout,Christian Leroy Duncan,Dusko Todorovic,False,KO/TKO,1,1:52,,Lukasz Bosacki,,Christian Leroy Duncan,0,9 of 14,64%,14 of 19,0 of 0,---,0,0,0:38,9 of 14,3 of 8,2 of 2,4 of 4,8 of 13,1 of 1,0 of 0,Dusko Todorovic,0,4 of 6,66%,6 of 8,0 of 0,---,0,0,0:00,4 of 6,0 of 0,2 of 3,2 of 3,4 of 6,0 of 0,0 of 0
Flyweight Bout,Jake Hadley,Malcolm Gordon,False,KO/TKO,1,1:01,,Marc Goddard,,Jake Hadley,1,10 of 21,47%,13 of 24,0 of 0,---,0,0,0:04,10 of 21,7 of 18,2 of 2,1 of 1,5 of 15,0 of 0,5 of 6,Malcolm Gordon,0,3 of 15,20%,3 of 15,0 of 0,---,0,0,0:00,3 of 15,1 of 13,0 of 0,2 of 2,3 of 15,0 of 0,0 of 0
Women's Flyweight Bout,Joanne Wood,Luana Carolina,False,Decision - Split,3,5:00,,Herb Dean,,Joanne Wood,0,131 of 228,57%,177 of 278,2 of 4,50%,0,0,1:50,131 of 228,61 of 142,46 of 53,24 of 33,84 of 177,46 of 50,1 of 1,Luana Carolina,0,100 of 199,50%,123 of 222,0 of 0,---,0,0,0:42,100 of 199,55 of 144,34 of 40,11 of 15,75 of 165,25 of 34,0 of 0
Lightweight Bout,,,True,Decision - Majority,3,5:00,,Rich Mitchell,,Jai Herbert,0,43 of 90,47%,96 of 168,1 of 3,33%,0,0,2:54,43 of 90,15 of 59,17 of 19,11 of 12,24 of 68,12 of 13,7 of 9,Ludovit Klein,0,47 of 97,48%,78 of 132,2 of 3,66%,0,0,3:14,47 of 97,30 of 75,11 of 15,6 of 7,30 of 76,15 of 19,2 of 2
Lightweight Bout,,,True,Decision - Majority,3,5:00,,Rich Mitchell,,Jai Herbert,0,43 of 90,47%,96 of 168,1 of 3,33%,0,0,2:54,43 of 90,15 of 59,17 of 19,11 of 12,24 of 68,12 of 13,7 of 9,Ludovit Klein,0,47 of 97,48%,78 of 132,2 of 3,66%,0,0,3:14,47 of 97,30 of 75,11 of 15,6 of 7,30 of 76,15 of 19,2 of 2
Women's Flyweight Bout,Veronica Hardy,Juliana Miller,False,Decision - Unanimous,3,5:00,,Lukasz Bosacki,,Juliana Miller,0,30 of 79,37%,49 of 98,0 of 3,0%,3,0,1:19,30 of 79,20 of 63,9 of 14,1 of 2,22 of 65,7 of 9,1 of 5,Veronica Hardy,0,62 of 77,80%,78 of 95,4 of 4,100%,0,0,7:36,62 of 77,39 of 52,12 of 14,11 of 11,32 of 43,5 of 6,25 of 28
Bantamweight Bout,Merab Dvalishvili,Petr Yan,False,Decision - Unanimous,5,5:00,,Herb Dean,,Petr Yan,0,75 of 143,52%,87 of 155,1 of 5,20%,0,0,1:50,75 of 143,41 of 105,16 of 19,18 of 19,66 of 132,9 of 11,0 of 0,Merab Dvalishvili,0,147 of 338,43%,202 of 401,11 of 49,22%,0,0,6:53,147 of 338,91 of 260,35 of 52,21 of 26,129 of 312,18 of 26,0 of 0
Heavyweight Bout,Alexander Volkov,Alexandr Romanov,False,KO/TKO,1,2:16,,Mark Smith,,Alexander Volkov,0,12 of 15,80%,27 of 35,0 of 0,---,0,0,1:03,12 of 15,8 of 11,4 of 4,0 of 0,4 of 7,3 of 3,5 of 5,Alexandr Romanov,0,0 of 1,0%,0 of 1,0 of 5,0%,0,0,0:38,0 of 1,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
Catch Weight Bout,Nikita Krylov,Ryan Spann,False,Submission,1,3:38,,Herb Dean,,Nikita Krylov,0,7 of 12,58%,24 of 31,2 of 2,100%,2,2,2:39,7 of 12,2 of 7,2 of 2,3 of 3,3 of 7,3 of 4,1 of 1,Ryan Spann,0,5 of 11,45%,5 of 11,1 of 2,50%,1,2,0:32,5 of 11,4 of 10,1 of 1,0 of 0,4 of 9,1 of 1,0 of 1
Bantamweight Bout,Jonathan Martinez,Said Nurmagomedov,False,Decision - Unanimous,3,5:00,,Keith Peterson,,Said Nurmagomedov,0,47 of 78,60%,101 of 134,3 of 9,33%,2,0,4:21,47 of 78,25 of 50,14 of 19,8 of 9,31 of 57,12 of 14,4 of 7,Jonathan Martinez,0,38 of 55,69%,78 of 96,0 of 1,0%,1,0,6:09,38 of 55,13 of 25,7 of 8,18 of 22,22 of 37,13 of 15,3 of 3
Bantamweight Bout,Mario Bautista,Guido Cannetti,False,Submission,1,3:18,,Chris Tognoni,,Mario Bautista,0,3 of 4,75%,5 of 6,3 of 4,75%,1,0,2:36,3 of 4,2 of 3,1 of 1,0 of 0,0 of 1,1 of 1,2 of 2,Guido Cannetti,0,2 of 5,40%,5 of 8,1 of 1,100%,0,0,0:16,2 of 5,0 of 1,0 of 1,2 of 3,2 of 5,0 of 0,0 of 0
Light Heavyweight Bout,Vitor Petrino,Anton Turkalj,False,Decision - Unanimous,3,5:00,,Mark Smith,,Vitor Petrino,0,39 of 82,47%,60 of 104,7 of 9,77%,1,4,6:13,39 of 82,27 of 66,10 of 13,2 of 3,28 of 65,2 of 6,9 of 11,Anton Turkalj,0,33 of 56,58%,69 of 95,5 of 15,33%,0,1,4:40,33 of 56,19 of 36,7 of 11,7 of 9,22 of 45,5 of 5,6 of 6
Heavyweight Bout,Karl Williams,Lukasz Brzeski,False,Decision - Unanimous,3,5:00,,Herb Dean,,Karl Williams,1,38 of 58,65%,120 of 168,8 of 13,61%,0,0,10:13,38 of 58,31 of 50,4 of 5,3 of 3,22 of 34,2 of 5,14 of 19,Lukasz Brzeski,0,26 of 46,56%,49 of 72,0 of 1,0%,0,0,0:29,26 of 46,19 of 39,5 of 5,2 of 2,22 of 40,4 of 5,0 of 1
Bantamweight Bout,Davey Grant,Raphael Assuncao,False,Submission,3,4:43,,Keith Peterson,,Raphael Assuncao,0,42 of 58,72%,67 of 85,5 of 12,41%,0,0,4:17,42 of 58,16 of 29,8 of 8,18 of 21,38 of 53,3 of 4,1 of 1,Davey Grant,1,65 of 138,47%,80 of 154,0 of 0,---,1,0,0:52,65 of 138,28 of 91,18 of 28,19 of 19,59 of 132,4 of 4,2 of 2
Middleweight Bout,Josh Fremd,Sedriques Dumas,False,Submission,2,3:00,,Chris Tognoni,,Sedriques Dumas,0,20 of 44,45%,23 of 47,0 of 1,0%,0,1,0:07,20 of 44,8 of 26,2 of 5,10 of 13,19 of 43,1 of 1,0 of 0,Josh Fremd,0,33 of 61,54%,48 of 78,2 of 2,100%,2,1,4:27,33 of 61,21 of 48,6 of 7,6 of 6,27 of 55,4 of 4,2 of 2
Bantamweight Bout,Victor Henry,Tony Gravely,False,Decision - Split,3,5:00,,Mark Smith,,Victor Henry,0,154 of 244,63%,190 of 281,0 of 0,---,2,1,1:20,154 of 244,92 of 176,55 of 60,7 of 8,102 of 183,46 of 55,6 of 6,Tony Gravely,0,75 of 154,48%,90 of 169,3 of 17,17%,0,0,3:22,75 of 154,44 of 113,20 of 29,11 of 12,52 of 127,18 of 22,5 of 5
Women's Flyweight Bout,Ariane Lipski,JJ Aldrich,False,Decision - Unanimous,3,5:00,,Keith Peterson,,Ariane Lipski,0,101 of 204,49%,113 of 216,2 of 2,100%,0,0,0:19,101 of 204,47 of 134,42 of 56,12 of 14,77 of 176,24 of 28,0 of 0,JJ Aldrich,0,49 of 99,49%,56 of 106,0 of 12,0%,0,0,1:16,49 of 99,42 of 92,4 of 4,3 of 3,45 of 95,4 of 4,0 of 0
Flyweight Bout,Bruno Silva,Tyson Nam,False,Submission,2,1:23,,Chris Tognoni,,Tyson Nam,0,12 of 38,31%,12 of 38,0 of 0,---,0,0,0:00,12 of 38,6 of 31,3 of 4,3 of 3,12 of 38,0 of 0,0 of 0,Bruno Silva,1,23 of 45,51%,27 of 50,0 of 1,0%,1,0,0:53,23 of 45,14 of 33,5 of 8,4 of 4,21 of 38,0 of 1,2 of 6
Welterweight Bout,Carlston Harris,Jared Gooden,False,Decision - Unanimous,3,5:00,,Keith Peterson,,Carlston Harris,0,63 of 110,57%,140 of 194,5 of 12,41%,0,0,9:38,63 of 110,52 of 99,10 of 10,1 of 1,35 of 74,11 of 15,17 of 21,Jared Gooden,0,51 of 84,60%,93 of 126,0 of 0,---,0,0,0:02,51 of 84,22 of 49,21 of 27,8 of 8,41 of 74,10 of 10,0 of 0
UFC Heavyweight Title Bout,Jon Jones,Ciryl Gane,False,Submission,1,2:04,,Marc Goddard,,Jon Jones,0,5 of 10,50%,8 of 14,2 of 2,100%,1,0,0:57,5 of 10,2 of 5,0 of 1,3 of 4,5 of 10,0 of 0,0 of 0,Ciryl Gane,0,6 of 8,75%,7 of 9,0 of 0,---,0,0,0:00,6 of 8,1 of 3,2 of 2,3 of 3,6 of 8,0 of 0,0 of 0
UFC Women's Flyweight Title Bout,Alexa Grasso,Valentina Shevchenko,False,Submission,4,4:34,,Jason Herzog,,Valentina Shevchenko,0,87 of 145,60%,167 of 228,4 of 6,66%,0,0,5:24,87 of 145,68 of 121,8 of 12,11 of 12,80 of 133,2 of 7,5 of 5,Alexa Grasso,0,59 of 181,32%,182 of 308,0 of 2,0%,1,0,1:22,59 of 181,31 of 137,12 of 18,16 of 26,50 of 172,8 of 8,1 of 1
Welterweight Bout,Shavkat Rakhmonov,Geoff Neal,False,Submission,3,4:17,,Herb Dean,,Geoff Neal,0,69 of 145,47%,69 of 145,0 of 0,---,0,0,1:12,69 of 145,63 of 136,4 of 6,2 of 3,57 of 129,12 of 16,0 of 0,Shavkat Rakhmonov,0,113 of 179,63%,120 of 186,0 of 4,0%,1,0,3:43,113 of 179,69 of 130,39 of 44,5 of 5,74 of 131,39 of 48,0 of 0
Lightweight Bout,Mateusz Gamrot,Jalin Turner,False,Decision - Split,3,5:00,,Mark Smith,,Mateusz Gamrot,0,29 of 42,69%,89 of 109,4 of 12,33%,0,0,6:52,29 of 42,18 of 30,2 of 3,9 of 9,21 of 32,2 of 2,6 of 8,Jalin Turner,1,40 of 97,41%,62 of 119,0 of 1,0%,0,0,0:32,40 of 97,23 of 72,14 of 22,3 of 3,33 of 90,4 of 4,3 of 3
Middleweight Bout,Bo Nickal,Jamie Pickett,False,Submission,1,2:54,,Keith Peterson,,Bo Nickal,0,1 of 4,25%,3 of 6,1 of 4,25%,2,0,2:30,1 of 4,0 of 2,1 of 2,0 of 0,0 of 1,1 of 3,0 of 0,Jamie Pickett,0,1 of 2,50%,1 of 2,0 of 0,---,0,0,0:00,1 of 2,0 of 1,1 of 1,0 of 0,0 of 1,1 of 1,0 of 0
Bantamweight Bout,Cody Garbrandt,Trevin Jones,False,Decision - Unanimous,3,5:00,,Jason Herzog,,Cody Garbrandt,0,26 of 33,78%,33 of 40,2 of 3,66%,0,0,2:32,26 of 33,8 of 14,14 of 15,4 of 4,21 of 28,2 of 2,3 of 3,Trevin Jones,0,20 of 69,28%,30 of 79,1 of 2,50%,1,0,1:39,20 of 69,9 of 50,8 of 14,3 of 5,15 of 64,1 of 1,4 of 4
Middleweight Bout,Dricus Du Plessis,Derek Brunson,False,KO/TKO,2,4:59,,Herb Dean,,Derek Brunson,0,37 of 84,44%,43 of 90,1 of 2,50%,1,1,2:30,37 of 84,27 of 71,9 of 12,1 of 1,30 of 74,3 of 5,4 of 5,Dricus Du Plessis,1,71 of 115,61%,84 of 132,1 of 2,50%,1,0,1:25,71 of 115,55 of 97,8 of 9,8 of 9,53 of 95,3 of 3,15 of 17
Women's Flyweight Bout,Amanda Ribas,Viviane Araujo,False,Decision - Unanimous,3,5:00,,Keith Peterson,,Viviane Araujo,0,46 of 115,40%,86 of 162,0 of 0,---,2,0,0:00,46 of 115,37 of 105,5 of 6,4 of 4,45 of 114,0 of 0,1 of 1,Amanda Ribas,0,98 of 183,53%,205 of 320,2 of 2,100%,0,0,8:20,98 of 183,71 of 149,11 of 16,16 of 18,93 of 176,0 of 0,5 of 7
Middleweight Bout,Marc-Andre Barriault,Julian Marquez,False,KO/TKO,2,4:12,,Mark Smith,,Julian Marquez,0,82 of 171,47%,83 of 172,0 of 1,0%,0,0,0:00,82 of 171,63 of 142,10 of 18,9 of 11,63 of 141,19 of 30,0 of 0,Marc-Andre Barriault,0,109 of 222,49%,127 of 246,0 of 0,---,0,0,1:29,109 of 222,91 of 202,18 of 20,0 of 0,60 of 133,49 of 89,0 of 0
Welterweight Bout,Ian Garry,Song Kenan,False,KO/TKO,3,4:22,,Marc Goddard,,Ian Garry,1,127 of 231,54%,127 of 231,0 of 0,---,0,0,0:05,127 of 231,58 of 149,36 of 46,33 of 36,119 of 220,1 of 1,7 of 10,Song Kenan,1,55 of 110,50%,61 of 120,2 of 3,66%,0,0,0:44,55 of 110,18 of 69,8 of 9,29 of 32,45 of 94,7 of 8,3 of 8
Bantamweight Bout,Cameron Saaiman,Mana Martinez,False,Decision - Majority,3,5:00,,Herb Dean,,Mana Martinez,0,60 of 148,40%,63 of 160,0 of 0,---,0,0,0:00,60 of 148,40 of 125,15 of 18,5 of 5,58 of 144,2 of 4,0 of 0,Cameron Saaiman,1,117 of 240,48%,146 of 272,1 of 1,100%,0,0,4:07,117 of 240,66 of 175,23 of 30,28 of 35,85 of 191,1 of 3,31 of 46
Women's Strawweight Bout,Tabatha Ricci,Jessica Penne,False,Submission,2,2:14,,Jason Herzog,,Jessica Penne,0,6 of 25,24%,19 of 44,0 of 1,0%,0,0,0:00,6 of 25,4 of 20,2 of 4,0 of 1,4 of 23,1 of 1,1 of 1,Tabatha Ricci,0,36 of 54,66%,81 of 109,4 of 5,80%,1,0,5:14,36 of 54,19 of 35,2 of 2,15 of 17,15 of 32,2 of 2,19 of 20
Bantamweight Bout,Farid Basharat,Da'Mon Blackshear,False,Decision - Unanimous,3,5:00,,Keith Peterson,,Da'Mon Blackshear,0,46 of 117,39%,91 of 164,1 of 6,16%,1,1,2:38,46 of 117,23 of 79,12 of 16,11 of 22,36 of 106,7 of 8,3 of 3,Farid Basharat,0,58 of 96,60%,76 of 115,3 of 6,50%,0,0,5:28,58 of 96,36 of 70,14 of 17,8 of 9,42 of 79,4 of 5,12 of 12
Lightweight Bout,Loik Radzhabov,Esteban Ribovics,False,Decision - Unanimous,3,5:00,,Mark Smith,,Esteban Ribovics,1,66 of 129,51%,98 of 162,0 of 1,0%,1,1,0:31,66 of 129,52 of 114,11 of 12,3 of 3,61 of 124,1 of 1,4 of 4,Loik Radzhabov,0,40 of 85,47%,67 of 117,11 of 21,52%,0,0,7:39,40 of 85,33 of 78,6 of 6,1 of 1,37 of 81,1 of 2,2 of 2
Middleweight Bout,Brendan Allen,Andre Muniz,False,Submission,3,4:25,,Jason Herzog,,Andre Muniz,0,43 of 112,38%,45 of 114,0 of 3,0%,0,0,0:15,43 of 112,25 of 88,8 of 13,10 of 11,43 of 111,0 of 1,0 of 0,Brendan Allen,0,42 of 102,41%,64 of 129,1 of 1,100%,2,0,4:12,42 of 102,21 of 76,12 of 16,9 of 10,40 of 98,0 of 0,2 of 4
Heavyweight Bout,Augusto Sakai,Don'Tale Mayes,False,Decision - Unanimous,3,5:00,,Kerry Hatley,,Augusto Sakai,0,53 of 95,55%,107 of 173,1 of 2,50%,0,0,8:51,53 of 95,27 of 65,18 of 22,8 of 8,21 of 49,30 of 42,2 of 4,Don'Tale Mayes,0,29 of 62,46%,77 of 121,0 of 1,0%,0,0,2:46,29 of 62,15 of 46,10 of 12,4 of 4,24 of 56,5 of 6,0 of 0
Women's Flyweight Bout,Tatiana Suarez,Montana De La Rosa,False,Submission,2,2:51,,Chris Tognoni,,Tatiana Suarez,0,10 of 13,76%,37 of 43,2 of 6,33%,1,0,5:45,10 of 13,0 of 1,8 of 10,2 of 2,3 of 5,7 of 8,0 of 0,Montana De La Rosa,0,5 of 11,45%,36 of 46,0 of 0,---,0,0,0:37,5 of 11,4 of 10,1 of 1,0 of 0,1 of 7,4 of 4,0 of 0
Welterweight Bout,Mike Malott,Yohan Lainesse,False,Submission,1,4:15,,Mark Smith,,Mike Malott,0,9 of 17,52%,20 of 28,1 of 1,100%,1,0,1:36,9 of 17,3 of 8,4 of 7,2 of 2,9 of 17,0 of 0,0 of 0,Yohan Lainesse,0,1 of 4,25%,1 of 4,0 of 0,---,0,0,0:00,1 of 4,1 of 3,0 of 0,0 of 1,1 of 4,0 of 0,0 of 0
Lightweight Bout,Trevor Peek,Erick Gonzalez,False,KO/TKO,1,4:59,,Kerry Hatley,,Erick Gonzalez,0,7 of 29,24%,11 of 35,4 of 6,66%,0,0,2:15,7 of 29,5 of 27,1 of 1,1 of 1,7 of 28,0 of 1,0 of 0,Trevor Peek,2,51 of 86,59%,51 of 86,0 of 1,0%,0,0,0:16,51 of 86,38 of 70,8 of 11,5 of 5,36 of 67,9 of 12,6 of 7
Women's Flyweight Bout,Jasmine Jasudavicius,Gabriella Fernandes,False,Decision - Unanimous,3,5:00,,Chris Tognoni,,Jasmine Jasudavicius,0,24 of 54,44%,149 of 215,4 of 8,50%,0,0,11:31,24 of 54,17 of 46,3 of 4,4 of 4,16 of 40,1 of 1,7 of 13,Gabriella Fernandes,0,26 of 56,46%,54 of 86,0 of 1,0%,0,0,0:04,26 of 56,10 of 37,8 of 10,8 of 9,25 of 55,1 of 1,0 of 0
Lightweight Bout,Jordan Leavitt,Victor Martinez,False,KO/TKO,1,2:27,,Jason Herzog,,Jordan Leavitt,1,17 of 35,48%,18 of 38,0 of 2,0%,0,0,0:46,17 of 35,8 of 21,6 of 10,3 of 4,8 of 22,5 of 7,4 of 6,Victor Martinez,0,7 of 28,25%,9 of 31,0 of 0,---,0,0,0:00,7 of 28,4 of 20,0 of 1,3 of 7,7 of 28,0 of 0,0 of 0
Catch Weight Bout,Ode Osbourne,Charles Johnson,False,Decision - Split,3,5:00,,Kerry Hatley,,Ode Osbourne,0,48 of 154,31%,50 of 157,3 of 10,30%,0,0,2:53,48 of 154,17 of 110,10 of 15,21 of 29,45 of 150,3 of 4,0 of 0,Charles Johnson,0,60 of 127,47%,74 of 147,1 of 5,20%,0,0,1:18,60 of 127,28 of 78,10 of 24,22 of 25,42 of 101,17 of 25,1 of 1
Lightweight Bout,Joe Solecki,Carl Deaton,False,Submission,2,4:55,,Jason Herzog,,Joe Solecki,0,2 of 8,25%,49 of 67,2 of 3,66%,3,0,8:51,2 of 8,1 of 6,0 of 1,1 of 1,1 of 6,1 of 2,0 of 0,Carl Deaton,0,1 of 12,8%,13 of 29,0 of 0,---,0,0,0:00,1 of 12,1 of 10,0 of 2,0 of 0,1 of 12,0 of 0,0 of 0
Lightweight Bout,Nurullo Aliev,Rafael Alves,False,Decision - Majority,3,5:00,,Mark Smith,,Rafael Alves,0,6 of 17,35%,25 of 36,0 of 0,---,2,1,1:18,6 of 17,2 of 11,2 of 3,2 of 3,6 of 17,0 of 0,0 of 0,Nurullo Aliev,0,19 of 45,42%,92 of 140,3 of 4,75%,0,1,10:51,19 of 45,19 of 42,0 of 1,0 of 2,1 of 10,0 of 0,18 of 35
Women's Flyweight Bout,Erin Blanchfield,Jessica Andrade,False,Submission,2,1:37,,Herb Dean,,Jessica Andrade,0,53 of 143,37%,56 of 147,0 of 1,0%,0,0,0:00,53 of 143,28 of 107,5 of 16,20 of 20,50 of 137,3 of 6,0 of 0,Erin Blanchfield,0,51 of 120,42%,53 of 124,1 of 3,33%,1,0,1:03,51 of 120,38 of 105,2 of 4,11 of 11,50 of 117,1 of 3,0 of 0
Light Heavyweight Bout,Zac Pauga,Jordan Wright,False,Decision - Unanimous,3,5:00,,Mark Smith,,Jordan Wright,0,29 of 78,37%,199 of 261,0 of 1,0%,0,0,0:13,29 of 78,15 of 55,13 of 21,1 of 2,18 of 65,11 of 13,0 of 0,Zac Pauga,0,59 of 85,69%,85 of 114,0 of 6,0%,0,0,8:40,59 of 85,31 of 54,21 of 24,7 of 7,21 of 42,38 of 43,0 of 0
Heavyweight Bout,Jamal Pogues,Josh Parisian,False,Decision - Unanimous,3,5:00,,Jacob Montalvo,,Josh Parisian,0,37 of 113,32%,51 of 137,1 of 2,50%,0,0,1:12,37 of 113,19 of 85,14 of 23,4 of 5,35 of 110,2 of 3,0 of 0,Jamal Pogues,0,33 of 60,55%,49 of 79,5 of 11,45%,0,0,5:49,33 of 60,29 of 56,3 of 3,1 of 1,20 of 47,9 of 9,4 of 4
Light Heavyweight Bout,Marcin Prachnio,William Knight,False,Decision - Unanimous,3,5:00,,Chris Tognoni,,William Knight,0,8 of 33,24%,8 of 33,0 of 3,0%,0,0,0:00,8 of 33,0 of 13,2 of 8,6 of 12,8 of 33,0 of 0,0 of 0,Marcin Prachnio,0,79 of 144,54%,79 of 144,0 of 0,---,0,0,0:00,79 of 144,9 of 36,7 of 25,63 of 83,79 of 144,0 of 0,0 of 0
